,File_name,Author_name,Credit,license_code,license_link,link_original_file,link_page
34,2012-05-11 14-10-42-sun.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/1/10/2012-05-11_14-10-42-sun.jpg,https://commons.wikimedia.org/wiki/File:2012-05-11_14-10-42-sun.jpg
35,2012-04-06 21-18-08-m45-venus-18f-13d-16o.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/4/48/2012-04-06_21-18-08-m45-venus-18f-13d-16o.jpg,https://commons.wikimedia.org/wiki/File:2012-04-06_21-18-08-m45-venus-18f-13d-16o.jpg
36,2012-03-25 19-39-30-conj-lune-jupi-12f-2.5s-8d-f5.6-iso200-42mm.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/9/97/2012-03-25_19-39-30-conj-lune-jupi-12f-2.5s-8d-f5.6-iso200-42mm.jpg,https://commons.wikimedia.org/wiki/File:2012-03-25_19-39-30-conj-lune-jupi-12f-2.5s-8d-f5.6-iso200-42mm.jpg
37,2012-03-21 21-34-00-startrails.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/5/55/2012-03-21_21-34-00-startrails.jpg,https://commons.wikimedia.org/wiki/File:2012-03-21_21-34-00-startrails.jpg
38,2012-03-25 00-26-31-uma-4fov-9f-5s-ISO640-72d-27o.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/2/2c/2012-03-25_00-26-31-uma-4fov-9f-5s-ISO640-72d-27o.jpg,https://commons.wikimedia.org/wiki/File:2012-03-25_00-26-31-uma-4fov-9f-5s-ISO640-72d-27o.jpg
39,2012-03-25 00-26-31-uma-4fov-9f-5s-ISO640-72d-27o-ann.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/3/36/2012-03-25_00-26-31-uma-4fov-9f-5s-ISO640-72d-27o-ann.jpg,https://commons.wikimedia.org/wiki/File:2012-03-25_00-26-31-uma-4fov-9f-5s-ISO640-72d-27o-ann.jpg
40,2012-03-24 21-15-43-lion-5fov-9f-5s-iso640-72d-27o-ann.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/3/36/2012-03-24_21-15-43-lion-5fov-9f-5s-iso640-72d-27o-ann.jpg,https://commons.wikimedia.org/wiki/File:2012-03-24_21-15-43-lion-5fov-9f-5s-iso640-72d-27o-ann.jpg
41,2012-03-21 23-20-56-circumpolaire.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/d/d8/2012-03-21_23-20-56-circumpolaire.jpg,https://commons.wikimedia.org/wiki/File:2012-03-21_23-20-56-circumpolaire.jpg
42,2012-03-21 21-58-06-m45-6f-60s-3d-13o.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/c/ca/2012-03-21_21-58-06-m45-6f-60s-3d-13o.jpg,https://commons.wikimedia.org/wiki/File:2012-03-21_21-58-06-m45-6f-60s-3d-13o.jpg
43,2012-03-14 20-55-20-m45-19f-1.6s-13d-13o.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/a/ae/2012-03-14_20-55-20-m45-19f-1.6s-13d-13o.jpg,https://commons.wikimedia.org/wiki/File:2012-03-14_20-55-20-m45-19f-1.6s-13d-13o.jpg
44,2012-03-14 20-53-50-orion-40f-1.6s-13d-13o.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/2/21/2012-03-14_20-53-50-orion-40f-1.6s-13d-13o.jpg,https://commons.wikimedia.org/wiki/File:2012-03-14_20-53-50-orion-40f-1.6s-13d-13o.jpg
45,2012-03-14 20-49-10-jupi-venus-52f-1.6s-13d-13o.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/e/eb/2012-03-14_20-49-10-jupi-venus-52f-1.6s-13d-13o.jpg,https://commons.wikimedia.org/wiki/File:2012-03-14_20-49-10-jupi-venus-52f-1.6s-13d-13o.jpg
46,2012-03-14 21-42-55-file-etoiles-14f-2min-3d.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/7/7b/2012-03-14_21-42-55-file-etoiles-14f-2min-3d.jpg,https://commons.wikimedia.org/wiki/File:2012-03-14_21-42-55-file-etoiles-14f-2min-3d.jpg
47,2012-02-27 21-38-50-m44-42f-41d-8o.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/5/5d/2012-02-27_21-38-50-m44-42f-41d-8o.jpg,https://commons.wikimedia.org/wiki/File:2012-02-27_21-38-50-m44-42f-41d-8o.jpg
48,2012-02-29 21-14-18-pano-conj-lune-aldebaran-48f-2s-11d-10o.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/6/61/2012-02-29_21-14-18-pano-conj-lune-aldebaran-48f-2s-11d-10o.jpg,https://commons.wikimedia.org/wiki/File:2012-02-29_21-14-18-pano-conj-lune-aldebaran-48f-2s-11d-10o.jpg
49,2012-02-27 22-36-46-chapelet-lune-14f.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/d/db/2012-02-27_22-36-46-chapelet-lune-14f.jpg,https://commons.wikimedia.org/wiki/File:2012-02-27_22-36-46-chapelet-lune-14f.jpg
50,2012-02-12 20-57-15-pano-ciel-soir-hiver-30im-10d-16o.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/2/2c/2012-02-12_20-57-15-pano-ciel-soir-hiver-30im-10d-16o.jpg,https://commons.wikimedia.org/wiki/File:2012-02-12_20-57-15-pano-ciel-soir-hiver-30im-10d-16o.jpg
51,2012-01-17 22-11-44-constellations-20f-6d-11o.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/b/b0/2012-01-17_22-11-44-constellations-20f-6d-11o.jpg,https://commons.wikimedia.org/wiki/File:2012-01-17_22-11-44-constellations-20f-6d-11o.jpg
52,2011-11-09 14-43-52-sun-in-h-alpha.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/8/8f/2011-11-09_14-43-52-sun-in-h-alpha.jpg,https://commons.wikimedia.org/wiki/File:2011-11-09_14-43-52-sun-in-h-alpha.jpg
53,2011-11-19-Waning crescent moon.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/2/2f/2011-11-19-Waning_crescent_moon.jpg,https://commons.wikimedia.org/wiki/File:2011-11-19-Waning_crescent_moon.jpg
54,2011-08-13 22-31-35-moonlight.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/b/be/2011-08-13_22-31-35-moonlight.jpg,https://commons.wikimedia.org/wiki/File:2011-08-13_22-31-35-moonlight.jpg
55,2011-07-29-deep-sky-7.jpg,,Own work,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/0/00/2011-07-29-deep-sky-7.jpg,https://commons.wikimedia.org/wiki/File:2011-07-29-deep-sky-7.jpg
56,Model---Sun---Gasometer---Oberhausen---(Gentry).jpg,Gentry,Own work,Attribution,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/2/2b/Model---Sun---Gasometer---Oberhausen---%28Gentry%29.jpg,https://commons.wikimedia.org/wiki/File:Model---Sun---Gasometer---Oberhausen---%28Gentry%29.jpg
57,Sol-halpha.jpg,,,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,https://upload.wikimedia.org/wikipedia/commons/d/de/Sol-halpha.jpg,https://commons.wikimedia.org/wiki/File:Sol-halpha.jpg
58,Thomas Bresson - Mosaique-ecl-lune-20091231 (by).jpg,Thomas Bresson,Lunar ecli,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://upload.wikimedia.org/wikipedia/commons/9/95/Thomas_Bresson_-_Mosaique-ecl-lune-20091231_%28by%29.jpg,https://commons.wikimedia.org/wiki/File:Thomas_Bresson_-_Mosaique-ecl-lune-20091231_%28by%29.jpg
59,Radiotélescopes du Plateau de Bure.JPG,,Self-photographed,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/7/75/Radiot%C3%A9lescopes_du_Plateau_de_Bure.JPG,https://commons.wikimedia.org/wiki/File:Radiot%C3%A9lescopes_du_Plateau_de_Bure.JPG
60,Moon 2966.jpg,Dori,Own work,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://upload.wikimedia.org/wikipedia/commons/a/aa/Moon_2966.jpg,https://commons.wikimedia.org/wiki/File:Moon_2966.jpg
